product_id,title,price ($),stock_status,product_type,vendor,tags,description,benefits,how_to_use,ingredients,specifications,inclusions,care_instructions,product_url,primary_image_url
6846123638958,Underarm Whitening Set,48.00,In Stock,Whitening Set,Beautederm,Underarm Whitening,"Dark underarms? Beautederm Underarm Whitening Set helps deodorize by lessening sweat production and whitens underarms. With the use of Underarm Whitening Toner and Underarm Whitening Cream, you’ll have fresher and carefree days ahead.",,,"Ultralite Whitening Soap: Sodium Cocoate, Sodium Palm Kernelate, Aqua, Glycerin, Fragrance, Titanium Dioxide, Algowhite extract, Bee venom powder, Snail slime extract, Sodium Chloride, EDTA, BHT, USP
Underarm Whitening Toner: Ethyl alcohol, Aqua, Aluminum chlorhydrate, L-Glutathione, PPG-11, Steareth-2, Niacinamide, Papain, Citric acid
Underarm Whitening Cream: D.I., Cetearyl alcohol, Stearic acid, Glycerine, Citric acid, Niacinamide, Aloe vera extract","Inclusions:
Ultralite Whitening Soap 125g
Underarm Whitening Toner 120ml
Underarm Whitening Cream 20g
Benefits:
Whitens underarms
Slows down hair production
Helps deodorize by lessening sweat production
Serves as deodorant
Anti-perspirant
Directions for use:
Daytime Routine
Wash underarms with Ultralite Whitening Soap.
Rinse well and pat dry.
Use the Underarm Whitening Toner as your daily deodorant.
Nighttime Routine
Apply Underarm Whitening Cream thinly.
Leave it overnight (one application only).",,,https://beautederm.sg/collections/all/products/underarm-whitening-set,//beautederm.sg/cdn/shop/products/beautederm-underarm-whitening-set-beautemagic-02.jpg?v=1622530189
6846082908334,Underarm Whitening Cream (20g),28.00,In Stock,Whitening Cream,Beautederm,Underarm Whitening,"Say goodbye to dark underarms with Beautederm Underarm Whitening Cream. It evens out the skin tone, removes dead skin cells, and improve the skin's appearance. For the best result, use it with Ultralite soap and Underarm Toner.",,,"D.I., Cetearyl alcohol, Stearic acid, Glycerine, Citric acid, Niacinamide, Aloe vera extract","Net Weight:
20g
Benefits:
Lightens
Whitens underarm
Improves skin’s appearance
Directions for use:
Apply a thin layer on clean underarm. Leave it overnight.",,,https://beautederm.sg/collections/all/products/underarm-whitening-cream-20g,//beautederm.sg/cdn/shop/products/beautederm-underarm-whitening-cream-beautemagic.jpg?v=1622529907
6846060527790,Ultralite Whitening Soap 75g,10.00,In Stock,Cleanser,Beautederm,Cleanser,"Want a triple whitening soap that exfoliates and nourishes your skin? Try our Beautederm Ultralite Whitening Soap which will bring you the 3-in-1 goodness of Algowhite, Glutathione & Collagen. It cleanses and helps whiten the skin through its natural antioxidant content and it helps in replenishing lost moisture, giving your skin a healthier youthful glow.",,,"Sodium Cocoate, Sodium Palm Kernelate, Aqua, Glycerin, Fragrance, Titanium Dioxide, Algowhite extract, Bee venom powder, Snail slime extract, Sodium Chloride, EDTA, BHT, USP","Net Weight:
Available in 125g and 75g
Benefits:
Cleanses and exfoliates skin
Nourishes and whitens skin
Contains Algowhite, Glutathione, and Collagen
Directions for use:
Lather up on wet body.
Let it stay for 2-3 minutes.
Rinse well.
For better results, use every morning and evening.",,,https://beautederm.sg/collections/all/products/ultralite-whitening-soap-75g,//beautederm.sg/cdn/shop/products/beautederm-ultralite-soap-75g-beautemagic_231b663c-af70-473f-a659-e3cafd6ff89e.jpg?v=1622529753
6846123475118,Ultralite Whitening Soap 125g,15.00,In Stock,Cleanser,Beautederm,Cleanser,"Want a triple whitening soap that exfoliates and nourishes your skin? Try our Beautederm Ultralite Whitening Soap which will bring you the 3-in-1 goodness of Algowhite, Glutathione & Collagen. It cleanses and helps whiten the skin through its natural antioxidant content and it helps in replenishing lost moisture, giving your skin a healthier youthful glow.",,,"Sodium Cocoate, Sodium Palm Kernelate, Aqua, Glycerin, Fragrance, Titanium Dioxide, Algowhite extract, Bee venom powder, Snail slime extract, Sodium Chloride, EDTA, BHT, USP","Net Weight:
Available in 125g and 75g
Benefits:
Cleanses and exfoliates skin
Nourishes and whitens skin
Contains Algowhite, Glutathione, and Collagen
Directions for use:
Lather up on wet body.
Let it stay for 2-3 minutes.
Rinse well.
For better results, use every morning and evening.",,,https://beautederm.sg/collections/all/products/ultralite-whitening-soap-125g,//beautederm.sg/cdn/shop/products/beautederm-ultralite-soap-125g-beautemagic.jpg?v=1622530186
7279549513902,Soleil Sunscreen Mist (100ml),20.00,In Stock,Sunscreen Mist,Beautederm,Sun Protection,"Look no further for the perfect sunscreen! Our Soleil Sunscreen Mist features a lightweight and non-sticky spray-on formula that’s perfect for adults but also great for kids. With SPF 70 protection, this sunscreen helps prevent sunburn and protects skin from the damaging effects of the sun. It also contains nourishing and hydrating ingredients that keep your skin looking healthy all day long. Plus, it's chemical-free, which means it won't clog pores or cause breakouts like most sunscreens do.",,,"Coconut oil, Almond oil, Uvinul, Vitami E, Fragrance","Net Weight:
50 ml
Benefits:
For everyday use
Helps prevent sunburn (SPF70)
Best body sunscreen
Non-greasy
For dry skin
Chemical-free
Safe for kids
Directions for use:
Spray all over the body five minutes before sun exposure.
Re-apply two hours especially when exposed to intense sunlight.",,,https://beautederm.sg/collections/all/products/soleil-sunscreen-mist-100ml,//beautederm.sg/cdn/shop/products/beautederm-soleil-sunscreen-mist-100ml.jpg?v=1629431401
7258879197358,Papaine Whitening Soap (75g),10.00,In Stock,Cleanser,Beautederm,Cleanser,"Take your skin back to a time when you didn’t spend so much time on screens and your face was just naturally supple and clear. This Papaine Whitening Soap is here to do just that, gently lifting away dead skin cells and leaving your complexion rejuvenated. The soap contains Vitamins A, C, and E. The bright orange extract improves circulation while the papaya extract does double duty as an exfoliant and whitener. Plus it's hypoallergenic - no worries about irritating or misleading sensitive skin. It’s a must have in your skincare routine!",,,"Sodium cocoate, Sodium palm kernelate, Aqua, Glycerin, Fragrance, Titanium, Dioxide, Salicylic acid, Papaya extract, Sodium chloride, EDTA, BHT, USP","Net Weight:
75 grams
Benefits:
Exfoliates, whitens, and rejuvenates
Has Vitamins A, C, and E
Paraben free
Hypoallergenic
Delicately scented
Ideal for all skin types
Directions for use:
Lather up on wet face.
Rinse well.
For better results, use every morning and evening.",,,https://beautederm.sg/collections/all/products/papaine-whitening-soap-75g,//beautederm.sg/cdn/shop/products/beautederm-papaine-whitening-soap-75g.jpg?v=1629106796
7258919862446,Papaine Whitening Soap (150g),15.00,In Stock,Cleanser,Beautederm,Cleanser,"Take your skin back to a time when you didn’t spend so much time on screens and your face was just naturally supple and clear. This Papaine Whitening Soap is here to do just that, gently lifting away dead skin cells and leaving your complexion rejuvenated. The soap contains Vitamins A, C, and E. The bright orange extract improves circulation while the papaya extract does double duty as an exfoliant and whitener. Plus it's hypoallergenic - no worries about irritating or misleading sensitive skin. It’s a must have in your skincare routine!",,,"Sodium cocoate, Sodium palm kernelate, Aqua, Glycerin, Fragrance, Titanium, Dioxide, Salicylic acid, Papaya extract, Sodium chloride, EDTA, BHT, USP","Net Weight:
150 grams
Benefits:
Exfoliates, whitens, and rejuvenates
Has Vitamins A, C, and E
Paraben free
Hypoallergenic
Delicately scented
Ideal for all skin types
Directions for use:
Lather up on wet face.
Rinse well.
For better results, use every morning and evening.",,,https://beautederm.sg/collections/all/products/papaine-whitening-soap-150g,//beautederm.sg/cdn/shop/products/beautederm-papaine-whitening-soap-150g.jpg?v=1628674697
6846124884142,Oatmeal Soap (150g),15.00,In Stock,Cleanser,Beautederm,Cleanser,"Oatmeal as skin cleanser? Why the heck not? Apart from its health benefits, it also does wonders for your skin too! Beautederm Oatmeal Soap not only cleanses the skin, but also soothes, calms, and reduces pore visibility. It improves skin texture and treats skin conditions such as acne, eczema, rosacea, and rashes. It can be used for both the face and body. Also, it is sensitive skin approved, even kids can use it!",,,"Oatmeal, Coconut Oil","Net Weight:
150g
Benefits:
Has anti-inflammatory properties
Helps treat acne, eczema, rosacea and rashes
Helps reduce pore size
Helps relieve symptoms of aging
Perfect for sensitive skin
Directions for use:
Lather up on wet face. Rinse immediately.
Lather up on wet body. Let it stay for 2-3 minutes. Rinse well.
For better results, use every morning and evening. Safe for kids too.",,,https://beautederm.sg/collections/all/products/oatmeal-soap-150g,//beautederm.sg/cdn/shop/products/beautederm-oatmeal-soap-beautemagic.jpg?v=1622530205
6846064951470,Jeune Total Face & Body Cleanser (250ml),38.00,In Stock,Cleanser,Beautederm,Cleanser,"Wash off the dirt and excess oil without stripping off the natural moisture of the skin with Beautederm Jeune Total Face & Body Cleanser. Its formula was further enhanced with an optimum amount of D-Panthenol - industry-accepted and safe moisturizing ingredients, giving smooth and soft skin.",,,,"Net Weight:
250 ml
Benefits:
Gentle on skin, will not strip off natural moisture of the skin.
Can be used for compromised skin and even for babies sensitive skin.
Acts as Humectant by preventing moisture loss.
Once used for long period of time, panthenol act as anti-inflammatory, and has a soothing effect.
Gentle on skin, will not disrupt skin barrier.
Ideal for dry and compromised skin.
Provides soothing and calming effect on the skin.
Directions for use:
1. Use ample amount of Jeune Skin cleanser on wet face. Massage gently. Rinse well and pat dry.
2. Can be used without water. Massage gently on the face. Cotton or tissue off.",,,https://beautederm.sg/collections/all/products/jeune-total-face-body-cleanser-250ml,//beautederm.sg/cdn/shop/products/beautederm-jeune-total-face-and-body-cleanser-250ml-beautemagic_b79c728f-67a7-4461-8030-e6ee323d71e8.jpg?v=1622529780
6846092804270,Delicat Whip Soap (120g),18.00,In Stock,Cleanser,Beautederm,Cleanser,"Need a perfect pair for the shower? Your search is finally over. Start your day with a brighter, fresher vibe with Beautederm Delicat Whip soap. Soak your body into all the moisturizing and whitening goodness from Delicat. This soap works like a dream, plus it comes with an ultra-fine delicate net that creates a soft and airy whip foam that gently removes dirt and dead skin cells from your skin.",,,"Glycerin, Stearic Acid, Water, Myristic Acid, Sodium Hydroxide, Salicylic Acid, Fragrance, Sodium Lauryl Sulfoacetate, EDTA, Carica Papaya Fruit Extract, Niacinamide, Titanium Dioxide, Saccharide Isomerate, Butylated Hydroxytoluene","Net Weight:
120grams
Benefits:
Product Benefit is based on the following ingredients:
Carica Papaya Fruit Extract. Source of Vitamin A and C and papain. Rich in antioxidants and helps fight free radicals caused by UV exposure. Lightens dark spots, evens out skin tone and brings a glow on your face.
Saccharide Isomerate. An effective moisture regulator that functions under the driest condition. It reduces dryness and irritation caused by the use of AHA's.
Melfade. Skin tightening agent It is based on a highly purified extract with chemical substance arbutin. It inhibits the progress of skin darkening.
Salicylic Acid. Effectively helps in getting rid of stretch marks, scars and aging skin.
Directions for use:
Wet and rub the lathering net and soap until the lather forms a whipped foam, then gently massage onto skin for a few minutes. Rinse well and pat dry.",,,https://beautederm.sg/collections/all/products/delicat-whip-soap-120g,//beautederm.sg/cdn/shop/products/beautederm-delicat-whip-soap-beautemagic.jpg?v=1622529982
